# Kinova Gen3 Motion Plan
# Generated from trajectory: alpha_0p900
# Source experiment: w100_sum_z_constraint
# Generated on: 2025-08-27T08:09:05.264969
# Alpha: 0.9
# Length cost: 0.7540323596824643
# Obstacle cost: 9.140330603462637
# Total duration: 24.500 seconds
# Number of timesteps: 246
#
time_s,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad,joint7_rad
22.2000,-0.007688,0.391304,0.085150,2.092710,-0.044049,0.262867,-1.569905
22.3000,-0.009255,0.399500,0.083655,2.079620,-0.044594,0.250357,-1.569915
22.4000,-0.010821,0.407697,0.082159,2.066530,-0.045139,0.237847,-1.569926
22.5000,-0.012388,0.415893,0.080664,2.053441,-0.045683,0.225337,-1.569936
22.6000,-0.014924,0.423936,0.078193,2.040513,-0.046349,0.212879,-1.569938
22.7000,-0.017461,0.431979,0.075723,2.027586,-0.047015,0.200420,-1.569940
22.8000,-0.019998,0.440021,0.073252,2.014659,-0.047682,0.187961,-1.569943
22.9000,-0.022535,0.448064,0.070782,2.001732,-0.048348,0.175503,-1.569945
23.0000,-0.025072,0.456107,0.068311,1.988804,-0.049014,0.163044,-1.569947
23.1000,-0.028552,0.464121,0.064890,1.976264,-0.049795,0.150631,-1.569955
23.2000,-0.032032,0.472134,0.061468,1.963724,-0.050575,0.138217,-1.569963
23.3000,-0.035512,0.480148,0.058046,1.951184,-0.051356,0.125804,-1.569970
23.4000,-0.038991,0.488162,0.054624,1.938643,-0.052137,0.113390,-1.569978
23.5000,-0.042471,0.496175,0.051202,1.926103,-0.052918,0.100977,-1.569986
23.6000,-0.046749,0.504296,0.046931,1.914307,-0.053835,0.088425,-1.569980
23.7000,-0.051026,0.512416,0.042661,1.902511,-0.054751,0.075874,-1.569975
23.8000,-0.055304,0.520537,0.038390,1.890716,-0.055668,0.063322,-1.569969
23.9000,-0.059581,0.528658,0.034119,1.878920,-0.056584,0.050771,-1.569964
24.0000,-0.063859,0.536778,0.029848,1.867124,-0.057501,0.038219,-1.569958
24.1000,-0.068423,0.545174,0.025188,1.856456,-0.058585,0.025105,-1.569967
24.2000,-0.072987,0.553569,0.020529,1.845789,-0.059669,0.011990,-1.569975
24.3000,-0.077551,0.561965,0.015869,1.835121,-0.060753,-0.001124,-1.569983
24.4000,-0.082115,0.570361,0.011209,1.824453,-0.061838,-0.014239,-1.569992
24.5000,-0.086679,0.578756,0.006549,1.813786,-0.062922,-0.027354,-1.570000
